trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MacroF1Act,Resource_to_role_acc,impact_acc,oranization country_acc,org:group_acc,org:resource:role_acc,org:resource_acc,org:role_acc,product_acc,resource country_acc,time:timestamp_mae,hid,lr,batch_size,heads,layers,aggregation
46,46_0,COMPLETED,BoTorch,3.5365685584809397,0.5989847779273987,0.5955056548118591,1.0,1.0,1.0,0.9796954393386841,1.0,0.6480541229248047,0.9289339780807495,0.9864636063575745,0.9475464820861816,0.2475534826517105,128,0.013969377507803457,64,1,2,max
90,90_0,COMPLETED,BoTorch,3.6110159433519583,0.4940778315067291,0.47374841570854187,1.0,1.0,1.0,0.9661590456962585,1.0,0.6768189668655396,0.9289339780807495,0.9932317733764648,0.9390862584114075,0.33586656451225283,128,0.0246389531943669,64,1,2,max
82,82_0,COMPLETED,BoTorch,3.6149090920480375,0.5059221386909485,0.49950143694877625,1.0,1.0,1.0,0.9695430994033813,1.0,0.6429780125617981,0.9221658110618591,0.9780033826828003,0.9357022047042847,0.22274002134799958,128,0.02665840015332261,64,1,2,max
44,44_0,COMPLETED,BoTorch,3.8002213525032857,0.4720812141895294,0.4415228068828583,1.0,1.0,1.0,0.9763113260269165,1.0,0.6937394142150879,0.9204737544059753,0.9001691937446594,0.9560067653656006,0.12448320984840393,128,0.014321996272785483,64,1,2,max
41,41_0,COMPLETED,BoTorch,3.9043454477505293,0.5600676536560059,0.5410587191581726,1.0,1.0,1.0,0.9576988220214844,1.0,0.6243654489517212,0.915397584438324,0.9644669890403748,0.9492385387420654,0.15776731371879577,128,0.014083177277151901,64,1,2,max
9,9_0,COMPLETED,BoTorch,3.917174395080656,0.5076141953468323,0.4990079402923584,1.0,1.0,1.0,0.9746192693710327,1.0,0.6565143465995789,0.9204737544059753,0.9407783150672913,0.9390862584114075,0.28871721029281616,128,0.013200947700350664,64,1,2,max
68,68_0,COMPLETED,BoTorch,3.9413433152600192,0.46700507402420044,0.4541248381137848,1.0,1.0,1.0,0.9644669890403748,1.0,0.673434853553772,0.9221658110618591,0.9780033826828003,0.942470371723175,0.2819033622741699,128,0.02662367372194508,64,1,2,max
31,31_0,COMPLETED,BoTorch,3.9709298187837705,0.48900169134140015,0.4880222976207733,1.0,1.0,1.0,0.9746192693710327,1.0,0.6074450016021729,0.915397584438324,0.9881556630134583,0.9238578677177429,0.13084274977445604,128,0.016416986393566313,64,1,2,max
52,52_0,COMPLETED,BoTorch,4.093858752920641,0.5313028693199158,0.5116977095603943,1.0,1.0,1.0,0.9610828757286072,1.0,0.663282573223114,0.9170896410942078,0.8680202960968018,0.9492385387420654,0.24987159967422484,128,0.014618940445701186,64,1,2,max
75,75_0,COMPLETED,BoTorch,4.1170402760617435,0.5093062520027161,0.48667478561401367,1.0,1.0,1.0,0.9644669890403748,1.0,0.5989847779273987,0.9204737544059753,0.9729272127151489,0.9441624283790588,0.15084698647260666,128,0.02539843848090301,64,1,2,max
76,76_0,COMPLETED,BoTorch,4.121750625848653,0.4551607370376587,0.4247540533542633,1.0,1.0,1.0,0.9712351560592651,1.0,0.5685279369354248,0.9170896410942078,0.9678511023521423,0.9509305953979492,0.16281049847602844,128,0.027362346946570932,64,1,2,max
