,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MacroF1Act,time:timestamp_mae,lr,batch_size,heads,hid,layers,aggregation
54,54,54_0,COMPLETED,BoTorch,1.214504908049299,0.5261242389678955,0.28378450870513916,0.056397635009019606,0.0015125148936162788,128,1,128,2,max
61,61,61_0,COMPLETED,BoTorch,1.2257624898826884,0.42734599113464355,0.23965001106262207,0.032191518393735734,0.0008308145961336227,128,1,128,2,max
71,71,71_0,COMPLETED,BoTorch,1.2340372275981693,0.2921757102012634,0.18984054028987885,0.04238738302862452,0.002549387372540875,128,1,128,2,max
85,85,85_0,COMPLETED,BoTorch,1.237896028365339,0.3535222113132477,0.23687314987182617,0.03959836240016645,0.0009203214901730916,128,1,128,2,max
58,58,58_0,COMPLETED,BoTorch,1.23948700497708,0.6636340022087097,0.27739912271499634,0.06175432774809099,0.0020983809004517092,128,1,128,2,max
98,98,98_0,COMPLETED,BoTorch,1.2465940773366921,0.2926956117153168,0.18454556167125702,0.039019804027292035,0.001671884435230271,128,2,128,2,max
78,78,78_0,COMPLETED,BoTorch,1.2475964411372138,0.6472576260566711,0.2410399168729782,0.039947240943870234,0.0009842846817068344,128,1,128,2,max
72,72,72_0,COMPLETED,BoTorch,1.2537187255558468,0.3969326615333557,0.22969181835651398,0.035353014005288,0.001054805516112491,128,1,128,2,max
99,99,99_0,COMPLETED,BoTorch,1.2614246787984045,0.4697166681289673,0.2538028955459595,0.03967870324249229,0.0017287993562111715,128,1,128,2,max
94,94,94_0,COMPLETED,BoTorch,1.2682315254163357,0.3064725697040558,0.19047924876213074,0.04026660503398988,0.00160366487325381,128,2,128,2,max
88,88,88_0,COMPLETED,BoTorch,1.2762361554609192,0.6589550375938416,0.25046461820602417,0.04259681713677222,0.0012907605817864976,128,2,128,2,max
82,82,82_0,COMPLETED,BoTorch,1.2790476934563728,0.6742916703224182,0.25818106532096863,0.05712932973138748,0.0010128471036589676,128,2,128,2,max
73,73,73_0,COMPLETED,BoTorch,1.2801382673844215,0.2934754490852356,0.19927063584327698,0.06815132186297447,0.0023163169473545586,128,1,128,2,max
79,79,79_0,COMPLETED,BoTorch,1.2862710469672758,0.6763712167739868,0.25781989097595215,0.039517969614075076,0.0009102252498518687,128,1,128,2,max
