,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Action_acc,Activity_acc,MacroF1Act,case:Accepted_acc,case:CreditScore_mae,case:FirstWithdrawalAmount_mae,case:MonthlyCost_mae,case:NumberOfTerms_mae,case:OfferedAmount_mae,case:Selected_acc,org:resource:role_acc,org:resource_acc,time:timestamp_mae,lr,batch_size,heads,hid,layers,aggregation
15,15,15_0,COMPLETED,BoTorch,3.3633404412390537,0.9999999403953552,0.9070224761962891,0.7658283114433289,0.9999999403953552,0.04458941264546794,0.021182348779537497,0.03985306275033606,0.033829977059682916,0.029114002195956445,0.9999999403953552,0.9250400066375732,0.48522037267684937,0.03078917329321991,0.0071409031834053505,256,2,128,2,max
7,7,7_0,COMPLETED,BoTorch,3.3743186655065363,0.9999999403953552,0.686129093170166,0.6734270453453064,0.9999825358390808,0.02412768555410986,0.09564824548357048,0.01076996804553111,0.04901012412390624,0.012305466539095797,0.9999999403953552,0.9260497093200684,0.46920478343963623,0.015441461681971172,0.00256345897601486,128,2,128,2,max
10,10,10_0,COMPLETED,BoTorch,3.3987797815685723,0.9999999403953552,0.7791239619255066,0.7148663997650146,0.9999999403953552,0.03879364994344175,0.07806173751840081,0.007963990496019346,0.06039336877138684,0.02231024891835013,0.9999651312828064,0.9173107147216797,0.4783615171909332,0.015732589262830124,0.0028562584605247507,256,2,128,2,max
13,13,13_0,COMPLETED,BoTorch,3.427593116420151,0.9999999403953552,0.71445232629776,0.6892463564872742,0.9999999403953552,0.0958407246455849,0.05393269668874603,0.06590981105288578,0.011523727279878273,0.018407909942164454,0.9999999403953552,0.9177981615066528,0.4751583933830261,0.027164018995031083,0.0022047577674761446,512,2,128,2,max
2,2,2_0,COMPLETED,Sobol,3.431229669448805,0.9999999403953552,0.8245247006416321,0.7324067950248718,0.9999999403953552,0.045933336326499825,0.04943467465899304,0.07075556961690928,0.13396693850745073,0.04616330134244698,0.9999999403953552,0.9216279983520508,0.49244481325149536,0.042483977550321274,0.007958031792637701,512,1,128,2,max
12,12,12_0,COMPLETED,BoTorch,3.5120324993362666,0.9999999403953552,0.8306872248649597,0.7382142543792725,0.9999999403953552,0.02901098752323795,0.04608693840044378,0.008882526610096406,0.04165449510338843,0.055893773632020353,0.9999999403953552,0.9161617755889893,0.4666805863380432,0.010891889838008147,0.0017390527531815274,256,2,128,2,max
4,4,4_0,COMPLETED,Sobol,3.5650410063949867,0.9999999403953552,0.8384339213371277,0.7285397052764893,0.9999999403953552,0.0234176874791328,0.03930908914464619,0.01406484699594417,0.0558821293286863,0.017082308528982185,0.9999999403953552,0.9198001027107239,0.46647167205810547,0.022639692456094353,0.0010138939569658027,512,2,128,2,max
11,11,11_0,COMPLETED,BoTorch,3.718287410281318,0.9999999403953552,0.8374068140983582,0.736559271812439,0.9999999403953552,0.05063653457702401,0.05627942685129117,0.02635721564458845,0.0475531271129913,0.047504477949609734,0.9998955130577087,0.9219587445259094,0.46518346667289734,0.041571735630521266,0.0020079036609566836,512,1,128,2,max
8,8,8_0,COMPLETED,BoTorch,4.0117722950993535,0.9999999403953552,0.7748937606811523,0.7152351140975952,0.9999999403953552,0.0653794014075551,0.11048619498919804,0.07814984850767992,0.0580200221812672,0.2105748277398154,0.9999999403953552,0.9226376414299011,0.4586031436920166,0.10492401548509873,0.1,256,2,128,2,max
0,0,0_0,COMPLETED,Sobol,4.387263134297599,0.9999999403953552,0.7933465242385864,0.7137962579727173,0.9999999403953552,0.007290791606588625,0.008719754753787825,0.004628720414826858,0.00940176881725313,0.004282519491990916,0.9998955130577087,0.7993698120117188,0.37184038758277893,0.009830392897129059,0.0001865322718407359,256,1,128,2,max
